id,data_de_referencia,data_do_evento,data_do_pagamento,descricao,nota,renda,gastos,grupos/0,instituicao_financeira,status,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6
019c95d0-7db0-4ade-b6e4-61877659f750,2022-03-08T00:00:00,2022-03-02T00:00:00,2022-03-02T00:00:00,Convenio Sr. Antonio - São Cristovão,,0,495.76,GASTOS,NUBANK,PAGO,Essencial,Saude,Convenio,Papai,Fixo,,
07989a93-0fe1-471f-a312-983e239d58df,2022-03-23T00:00:00,2022-03-23T00:00:00,2022-03-23T00:00:00,Shibata,,0,158.63,GASTOS,SODEXO-REF-IBM,PAGO,Moradia,Essencial,Mercado,Variavel,Alimentação,,
08641762-92ec-431a-bbe3-02c423a21d63,2022-03-20T00:00:00,2022-03-20T00:00:00,2022-03-20T00:00:00,Perua dos ovos - 30 ovos,,0,18,GASTOS,NUBANK,PAGO,Moradia,Essencial,Variavel,Alimentação,,,
099f08bf-27e5-4d36-8516-8cfdf41e9947,2022-03-20T00:00:00,2022-03-20T00:00:00,2022-03-20T00:00:00,Mercadolivre - Meu Canto Shop - Abridor De Latas Manivela,"Mimo Style - Abridor De Latas. Manivela Profissional Inox Sem Rebarbas = 36,87. Frete = 9,50.",0,46.37,GASTOS,NUBANK,PAGO,Moradia,Cozinha,Cicero,Variavel,,,
0af5e669-ca72-48e8-af92-73b4e2102f50,2022-03-01T00:00:00,2022-03-01T00:00:00,,Entrada mes anterior,,844.42,0,TRANSFERENCIA,SODEXO-REF-IBM,RECEBIDO,,,,,,,
1159139a-7d40-40e1-9f3d-ed7dfabc5488,2022-03-04T00:00:00,2022-03-04T00:00:00,,Transferencia via PIX - Almir,,0,2000,INVESTIMENTO,NUBANK,ENVIADO,Resgate,Nubank,Variavel,AjudaAlmir,,,
1aebbf0c-c384-4714-b0a5-9cd6b9921a02,2022-03-19T00:00:00,2022-03-19T00:00:00,,Transferencia via PIX - Roberta (aluguel garagem),,0,150,ALUGUEL,NUBANK,ENVIADO,Roberta,Aluguel,Itaquera,Variavel,,,
1c50c47a-6076-49e9-afbe-54ff534d010c,2022-03-08T00:00:00,2022-03-04T00:00:00,2022-03-04T00:00:00,Fatura VIVOFIBRA NETFLIX,,0,39.9,GASTOS,NUBANK,PAGO,Essencial,Streaming,Fixo,,,,
1c73b013-5c6c-4e89-8c48-d9e481407755,2022-03-20T00:00:00,2022-03-20T00:00:00,2022-03-20T00:00:00,Shibata - brinquedo camaleão,,0,109.9,GASTOS,NUBANK,PAGO,Mercado,Variavel,Lazer,Carlos,,,
1cc19326-d874-4018-a868-6af4787ebf87,2022-03-15T00:00:00,2022-03-15T00:00:00,2022-03-15T00:00:00,Convenio Carlos,,0,182.43,GASTOS,NUBANK,PAGO,Essencial,Saude,Convenio,Familia,Fixo,,
